"gene","Delta_2RF","euclidean_dist_50","s_SASA","s_Length","s_nmut","Essential","group","gene_ctrl","s_SASA_ctrl","s_Length_ctrl","s_nmut_ctrl","Essential_ctrl","group_ctrl"
"P13804",0.868,0.138791780230294,-0.907848359618228,-0.448675927878716,-0.0157709630426516,"No",1,"O76027",-0.905310066456927,-0.415040536493808,-0.150401478802288,"No",0
"P54652",0.862,0.0856239493467007,-1.17737722201464,0.40902655243644,-0.329908833148469,"No",1,"Q9UK73",-1.25611807004227,0.375391161051531,-0.329908833148469,"No",0
"Q13609",0.841,0.088102979078276,-0.895977613351833,-0.527158507776835,-0.0157709630426516,"No",1,"Q8NHY5",-0.891417153861436,-0.602838138392878,-0.060647801629197,"No",0
"Q92925",0.825,0.0269817558485022,1.28847601124726,0.106308029972267,-0.195278317388833,"No",1,"Q68DY1",1.26283802328862,0.0978991821260399,-0.195278317388833,"No",0
"Q99616",0.82,0.0616675967553117,1.18246029233711,-1.1073690091665,-0.329908833148469,"No",1,"Q6UW32",1.1568161449651,-1.07373361778159,-0.285031994561924,"No",0
"P32119",0.813,0.0130729719067172,-1.06605338170753,-0.827074080958932,-0.329908833148469,"No",1,"P61086",-1.0778633984629,-0.821468182394781,-0.329908833148469,"No",0
"P28702",0.805,0.0595769906343629,0.909923833018773,0.111913928536418,-0.285031994561924,"No",1,"C9JN71",0.850611172360736,0.106308029972267,-0.285031994561924,"No",0
"P15586",0.803,0.110046812872209,-1.11818466155578,0.165169964895856,-0.195278317388833,"No",1,"A6NHZ5",-1.14585195973359,0.0586578921769805,-0.195278317388833,"No",0
"Q16836",0.802,0.134892634689999,-0.963305372455266,-0.501931964238154,-0.195278317388833,"No",1,"Q5JTN6",-1.09051422533936,-0.501931964238154,-0.150401478802288,"No",0
"P11802",0.802,0.197859228914244,-0.905421218843755,-0.532764406340986,-0.150401478802288,"Yes",1,"P55735",-0.841474531725063,-0.479508369981549,-0.329908833148469,"Yes",0
"O95045",0.8,0.130798704697751,-0.874388474885771,-0.493523116391927,-0.060647801629197,"No",1,"P02750",-0.784814492619787,-0.409434637929657,-0.105524640215742,"No",0
